time,Power(W),Load_kW,shortwave_radiation_instant,direct_normal_irradiance_instant,diffuse_radiation_instant,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SRF_ALB,temperature_2m ,relative_humidity_2m ,surface_pressure,wind_speed_10m,wind_direction_10m,direct_radiation_instant,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,uv_index,dew_point_2m,WS50M,WD50M,latitude,longitude,number,expver,cbh,cloud_cover_high,cloud_cover_low,cloud_cover_mid,cloud_cover,tciw,hour,day_of_year,month,day_of_week,is_day,solar_elevation
05/01/2016 00:00,0,0.258183191,0,0,0,0,0,0,30.46,73.5,100.83,4.54,184,0,0,0,0,0,25.18,5.18,183.7,9.67,80.18,0,1,2989.5193,96.21,3.83,6.85,96.68,0.006325651,0,122,5,6,0,0
05/01/2016 01:00,0,0.148649408,0,0,0,0,0,0,30.11,76.2,100.77,4.42,193.1,0,0,0,0,0,25.45,5.06,192.8,9.67,80.18,0,1,490.3181,89.92,13.97,3.27,91.95,0.005482085,1,122,5,6,0,0
05/01/2016 02:00,0,0.284226273,0,0,0,0,0,0,29.8,78.29,100.73,4.12,200,0,0,0,0,0,25.62,4.73,199.9,9.67,80.18,0,1,473.6604,86.36,26.27,1.4,90.05,0.004107609,2,122,5,6,0,0
05/01/2016 03:00,0,0.43522265,0,0,0,0,0,0,29.58,79.52,100.74,3.67,206.4,0,0,0,0,0,25.68,4.28,206.4,9.67,80.18,0,1,536.74585,83.48,21.48,4.33,88.34,0.002683159,3,122,5,6,0,0
05/01/2016 04:00,0,0.132108543,0,0,0,0,0,0,29.44,80.36,100.78,3.27,212.8,0,0,0,0,0,25.71,3.86,212.8,9.67,80.18,0,1,688.27466,78.07,23.01,7.99,83.45,0.003248537,4,122,5,6,0,0
05/01/2016 05:00,0,0.166611375,16.45,56.4,15,16.55,0.28,0.08,29.38,80.69,100.85,2.94,220,7.17,7.24,0.86,0,0.03,25.72,3.46,219.8,9.67,80.18,0,1,3299.438,64.69,15.25,7.56,67.59,0.002180303,5,122,5,6,0,0
05/01/2016 06:00,927.5454545,3.120827895,194.68,382.92,84.07,196.1,0.54,0.07,29.68,78.91,100.92,2.91,226.5,91.78,92.43,9.69,0.08,0.38,25.64,3.11,226.7,9.67,80.18,0,1,3430.4722,85.77,22.11,21.38,87.51,0.00164319,6,122,5,6,1,2.525847918
05/01/2016 07:00,3381.545455,3.172667097,429.25,625.11,92.47,431.75,0.64,0.06,30.09,76.24,101,2.64,232.2,204.38,204.72,24.12,0.43,2.1,25.46,2.78,232.3,9.67,80.18,0,1,1079.5527,95.67,15.55,14.36,96.25,0.002378027,7,122,5,6,1,16.87435242
05/01/2016 08:00,6570.75,0.923252367,625.62,601.68,178.51,628.4,0.67,0.06,30.68,72.59,101.03,2.46,233.1,293.71,293.7,36.38,0.94,4.72,25.19,2.55,232.6,9.67,80.18,0,1,3601.895,95.12,17.96,14,96.65,0.003654838,8,122,5,6,1,31.31208047
05/01/2016 09:00,8863.583333,0.922500198,710.4,422.96,311.67,710.47,0.62,0.06,31.31,68.9,101.01,2.46,230,320.73,320.75,38.37,1.15,6.1,24.91,2.54,228.8,9.67,80.18,0,1,1256.8557,89.32,32.99,8.17,93.69,0.003647496,9,122,5,6,1,45.7836235
05/01/2016 10:00,8189.583333,0.469078391,862.6,549.03,277.04,930.4,0.67,0.05,31.93,65.28,100.95,2.57,226.1,407.09,434.45,54.52,1.96,10.65,24.55,2.64,224.2,9.67,80.18,0,1,5541.707,65.64,19.32,7.71,71.35,0.002275398,10,122,5,6,1,60.21366747
05/01/2016 11:00,10996.33333,0.407042705,947.17,578.29,273.45,973.9,0.71,0.05,32.42,62.43,100.86,2.8,223.3,445.54,454.23,59.46,2.23,12.38,24.23,2.89,220.6,9.67,80.18,0,1,4518.324,62.28,11.13,3.5,64.39,0.00122315,11,122,5,6,1,74.34735918
05/01/2016 12:00,8354.583333,0.451359271,819.35,564.16,209.54,945.67,0.63,0.05,32.67,61.78,100.75,3.06,220.6,385.35,440.82,52.43,1.91,10.45,24.28,3.21,217.7,9.67,80.18,0,1,2635.2239,44.38,7.09,3.46,47.04,0.000568844,12,122,5,6,1,84.45963679
05/01/2016 13:00,9986.75,0.017947025,797.2,658.06,194.91,844.38,0.68,0.05,32.7,62.38,100.65,3.31,218.5,375.98,394.4,49.5,1.64,8.62,24.49,3.52,215.3,9.67,80.18,0,1,1089.7739,5.42,10.08,2.2,15.53,9.28E-05,13,122,5,6,1,74.34735918
05/01/2016 14:00,8262.916667,0.135696283,635.8,607.85,170.49,680,0.65,0.05,32.7,62.53,100.58,3.56,215.5,300.27,318.22,38.47,1.06,5.5,24.52,3.8,212.3,9.67,80.18,0,1,801.5217,16.47,10.98,4.36,25.62,0.002661446,14,122,5,6,1,60.21366747
05/01/2016 15:00,4017.5,0.417020935,440.17,499.53,168.39,467.55,0.61,0.06,32.6,62.92,100.54,3.76,211.6,207.65,218.82,25.08,0.49,2.45,24.52,4.04,208.7,9.67,80.18,0,1,765.7571,19.35,13.49,2.74,29.41,0.001169448,15,122,5,6,1,45.7836235
